1;Mairie de La Verrière;moyenne;2018;78 Yvelines;EnerCitY 78;;;50;5;15;9 - 35,9kWc;zinc;> 25°/40°<;  > 20°;Oui;;;mairie (donc politiquement important), 37° par rapport au sud, 45° vertical;local TGBT;10m;Avenue des Noës;78320;La Verrière;https://www.google.fr/maps/@48.757531,1.9576627,20z/data=!3m1!1e3;48.7543617;1.9557720999999901;collectivité;Mairie de La Verrière;;;;
2;;moyenne;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;180;34;34;9 - 35,9kWc;terrasse gravier;0° (à plat) à 10°;  +/- 10°;Oui;15 m;Oui;;;;142 av du Belvédère;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/142+Avenue+du+Belv%C3%A9d%C3%A8re,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.8820558,2.4025206,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66da4ef5f4e11:0xa4172e5e52fa741c!8m2!3d48.8820523!4d2.4047093;;;collectivité;Foyer résidence personnes âgées;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
3;;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;247;;46;36 - 99,9kWc;bac acier;> 10°/25°<;  +/-5°;Oui;12 m;Oui;toiture bac acier à faible pente env 10°;;;31 av Edouard Vaillant;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/31+Avenue+Edouard+Vaillant,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.8820598,2.4081818,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66da6f1bf65a5:0x385defedbc0586a9!8m2!3d48.8820563!4d2.4103705;;;collectivité;Gymnase Séverine;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
4;Bibliothèque;moyenne;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;69;;13;9 - 35,9kWc;terrasse gravier;0° (à plat) à 10°;  +/-5°;Oui;8 m;;;;;46 av Jean Jaurès;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/46+Avenue+Jean+Jaur%C3%A8s,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.8833442,2.4056873,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66da5da38b33d:0x82064bab11341507!8m2!3d48.8833407!4d2.407876;;;collectivité;Bibliothèque;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
5;Gymnase Nodier;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;244;;46;36 - 99,9kWc;bac acier;> 10°/25°<;  +/- 15°;Oui;12 m;;toiture bac acier pente env 15°;;;46 rue Charles Nodier;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/46+Rue+Charles+Nodier,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.8883408,2.3993186,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66db1ba660d85:0xfa2022b5325be281!8m2!3d48.8883373!4d2.4015073;;;collectivité;Gymnase Nodier;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
6;Ecole mat. Suzanne Lacore ; toit du grand bâtiment;moyenne;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;151;;28;9 - 35,9kWc;terrasse gravier;0° (à plat) à 10°;  +/-5°;Oui;8 m;;;;;11 rue Jules Jacquemin;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/11+Rue+Jules+Jacquemin,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.884148,2.4074902,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66da613e17713:0x9b11131326af2015!8m2!3d48.8841445!4d2.4096789;;;collectivité;Ecole mat. Suzanne Lacore ; toit du grand bâtiment;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
7;Espace culturel - salle Jacques Prévert;moyenne;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;110;;21;9 - 35,9kWc;terrasse gravier;0° (à plat) à 10°;  +/-5°;Oui;8 m;;;;;21 rue Jules Jacquemin;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/21+Rue+Jules+Jacquemin,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.884394,2.4080647,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66da63d232cbd:0x6c8dd84527859d0!8m2!3d48.8843905!4d2.4102534;;;collectivité;Espace culturel - salle Jacques Prévert;Rémila;Samir;samir.remila@villedupre.fr;01 49 42 73 34
8;pavillon;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;50;;9;6 - 8,9kWc;ardoise;> 25°/40°<;  +/-5°;Non;6 m;;;;;67 boulevard du général Leclerc;93260;Les Lilas;https://www.google.fr/maps/place/67+Ville+des+lilas+Boulevard+G%C3%A9n%C3%A9ral+Leclerc+de+Hauteclocque,+93260+Les+Lilas/@48.881476,2.426161,128m/data=!3m1!1e3!4m5!3m4!1s0x47e66d11c799f569:0xcc6c7c62897ea88d!8m2!3d48.8814725!4d2.4267086;;;particulier;pavillon;Laloy;Hélène;helene.laloy@outlook.fr;06 61 42 97 71
9;copropriété;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;45;;8;6 - 8,9kWc;tuile plates;> 25°/40°<;  +/- 15°;Non;10 m;;;;;21 rue du 14 juillet;93310;Le Pré-saint-Gervais;https://www.google.fr/maps/place/21+Rue+du+14+Juillet,+93310+Le+Pr%C3%A9-Saint-Gervais/@48.8865922,2.3995757,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66db06a648f7d:0x30cb1c7e9e0d44d2!8m2!3d48.8865887!4d2.4017644;;;copropriété;copropriété;Cloche;Luc;cloche.luc@gmail.com;06 09 40 84 69 - 09 50 02 60 82
10;pavillon;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;61;;11;6 - 8,9kWc;tuile plates;> 25°/40°<;  +/- 10°;Non;6m;;;;;6B sente du labyrinthe;93260;Romainville;https://www.google.fr/maps/place/6+Sentier+du+Labyrinthe,+93230+Romainville/@48.8822444,2.4274241,517m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e66d10e012aecb:0x97cd515b58dde278!8m2!3d48.8822409!4d2.4296128;;;particulier;pavillon;Meynard;liliane;liliane.meynard@free.fr;09 53 20 68 97
11;pavillon;forte;;93 Seine Saint Denis;Electrons Solaires 93;Vial;Michel;33;;6;3 - 5,9kWc;tuile plates;> 25°/40°<;  +/-5°;Non;6m;Non;;;;7 avenue des camélias;93170;Bagnolet;https://www.google.fr/maps/place/7+Avenue+des+Cam%C3%A9lias,+93170+Bagnolet/@48.8661334,2.4172059,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66d70c722b1a5:0x34e70056d5fba45e!8m2!3d48.8661299!4d2.4193946;;;particulier;pavillon;Danesi;Samuel;samueldanesi@hotmail.com;06 60 78 66 93
12;habitat participatif Coogite;forte;2018;78 Yvelines;EnerCitY 78;Mars;Grégory;80;11;12;9 - 35,9kWc;autre (précisions ds commentaires);> 10°/25°<;  > 20°;Non;11m et 10m;Non;Projet Coogite : 2 petits Bâtiments neufs à construire (Energie Positive et Bas Carbone) - Toiture EPDM;;;32ter et 34 rue de St Germain;78260;Achères;https://www.google.fr/maps/place/34+Rue+de+Saint-Germain,+78260+Ach%C3%A8res/@48.9581738,2.0696809,189m/data=!3m2!1e3!4b1!4m5!3m4!1s0x47e68a3740d0b483:0x523a03407bfce64c!8m2!3d48.9581738!4d2.0704683;;;entreprise;Coogite;Mars;Grégory;gregory@coogite.org;06 63 24 06 80
13;Toit du DMA;forte;2018;75 Paris;Les Energiques;Bourguignon;David;300;25;35;9 - 35,9kWc;terrasse gravier;35° optimale;  > 20°;Oui;15m;Oui;Site en autoconsommation, mais intéressant de mutualiser l'installation avec les autres projets (achat de matériel, devis collectif pour l'installateur);;;45 rue d'Ulm;75005;Paris;;;;autre;ENS;Pascal;Roussel;pascal.roussel@ens.fr;
14;Ecole Robespierre;faible;2018;92 Hauts de Seine;Thermie ;Kueffer;Gérard;700;80;100;36 - 99,9kWc;bac acier;35° optimale;180° Sud;Oui;10m;Non;Dans l'écoquartier, qui ne comporte aucun projet PV;;;place du 8 mai 45;92500;Rueil-Malmaison;;;;collectivité;Ecole maternelle Robespierre;;;;
15;Transformateur ERDF;faible;2019;92 Hauts de Seine;Thermie ;Kueffer;Gérard;500;60;90;36 - 99,9kWc;bac acier;35° optimale;  > 20°;Non;15;Non;Projet de recouvrir le transformateur avec une construction de même hauteur que les bâtiments autours.
;;;Angle rue Guy de Maupassant etrue Joseph Meunier;92500;Rueil-Malmaison;;48°53'26.0"N;;collectivité;Transformateur ERDF,  ;;;;
16;Entrepôts de la mairie;faible;2018;92 Hauts de Seine;Thermie ;Kueffer;Gérard;2,000;200;360;100 - 249,9kWc (AO CRE);terrasse gravier;> 10°/25°<;180° Sud;Non;10m;Non;Potentiel très intéressant, très granse surface, Projet exemplaire à coté de l’écoquartier ou il n'y a pas de PV
;;;Angle rue Chateaubriand, rue des Houtrais;92500;Rueil-Malmaison;;;;;;;;;
17;Aimé Césaire 1;moyenne;2018;78 Yvelines;EnerCitY 78;;;120;;;9 - 35,9kWc;terrasse nue;> 10°/25°<;  > 20°;Oui;10m;;ISB contigue;local TGBT;35;19, avenue du Général Leclerc;78320;La Verrière;https://www.google.fr/maps/@48.7546312,1.9553305,20z/data=!3m1!1e3;;;collectivité;mairie de La Verriere/CASQY;;;;
18;Aimé Césaire 2;moyenne;2018;78 Yvelines;EnerCitY 78;;;180;;;9 - 35,9kWc;terrasse nue;> 25°/40°<;  > 20°;Oui;5m;;5 pan style usine ISB;même local TGBT;40;19, avenue du Général Leclerc;78320;La Verrière;https://www.google.fr/maps/@48.7546312,1.9553305,20z/data=!3m1!1e3;;;collectivité;mairie de La Verriere/CASQY;;;;
19;Aimé Césaire 3;moyenne;2018;78 Yvelines;EnerCitY 78;;;180;;;9 - 35,9kWc;terrasse gravier;0° (à plat) à 10°;;Oui;10m;;toit terrasse "classique";même local TGBT;10;19, avenue du Général Leclerc;78320;La Verrière;https://www.google.fr/maps/@48.7546312,1.9553305,20z/data=!3m1!1e3;;;collectivité;mairie de La Verriere/CASQY;;;;
20;Gymnase bois de l'étang 1;moyenne;2018;78 Yvelines;EnerCitY 78;;;450;;;36 - 99,9kWc;terrasse nue;0° (à plat) à 10°;;Oui;10m;;;;;4 Avenue des Noës;78320;La Verrière;https://www.google.fr/maps/@48.7592582,1.9622751,20z/data=!3m1!1e3;;;collectivité;mairie de La Verriere/CASQY;;;;
